name,position,birthday,hometown,description,history,education,image,gender
Lê Thành Long,Bộ trưởng Tư pháp,23/9/1963,"Phường Quảng Thọ, thành phố Sầm Sơn, tỉnh Thanh Hóa","Ngày sinh: 23/9/1963
Quê quán: Phường Quảng Thọ, thành phố Sầm Sơn, tỉnh Thanh Hóa
Ủy viên Trung ương Đảng khóa XII, XIII","11/1987 - 12/1990
 Chuyên viên Vụ Hợp tác quốc tế, Bộ Tư pháp
12/1990 - 12/1991
 Cán bộ Ban Thư ký Ủy ban sông Mê Kông (tại Bangkok, Thái Lan)
12/1991 - 4/2003
 Chuyên viên Vụ Hợp tác quốc tế; Thư ký Bộ trưởng Bộ Tư pháp; học Thạc sĩ, Tiến sĩ ở nước ngoài
4/2003 - 12/2008
 Chuyên viên; Phó vụ trưởng Hợp tác quốc tế, Bộ Tư pháp
12/2008 - 10/2011
 Vụ trưởng Các vấn đề chung về xây dựng pháp luật, Bộ Tư pháp
10/2011 - 3/2014
 Thứ trưởng Tư pháp
3/2014 - 9/2015
 Phó bí thư Tỉnh ủy Hà Tĩnh
9/2015 - 4/2016
 Thứ trưởng Tư pháp
4/2016
 Bộ trưởng Tư  pháp",Tiến sĩ Luật,https://s1.vnecdn.net/vnexpress/j/v157/event/longform/thoisu/nhansulanhdaonhanuoc/avatar/le-thanh-long.png,Ông
Nguyễn Thanh Nghị,Bộ trưởng Xây dựng,12/8/1976,"Phường 9, TP Cà Mau, tỉnh Cà Mau","Ngày sinh: 12/8/1976
Quê quán: Phường 9, TP Cà Mau, tỉnh Cà Mau
Ủy viên Trung ương Đảng khóa XI (dự khuyết), XII, XIII","2006 - 2011
Công tác tại Đại học Kiến trúc TP HCM
11/2011 - 3/2014
 Thứ trưởng Xây dựng
3/2014 - 10/2015
Phó bí thư Tỉnh ủy, Phó Chủ tịch UBND tỉnh Kiên Giang
10/2015 - 10/2020
 Bí thư Tỉnh ủy Kiên Giang 
10/2020 - 4/2021
 Thứ trưởng Xây dựng
4/2021
Bộ trưởng Xây dựng",Tiến sĩ Khoa học ngành Kỹ thuật xây dựng,https://s1.vnecdn.net/vnexpress/j/v157/event/longform/thoisu/nhansulanhdaonhanuoc/avatar/nguyen-thanh-nghi.png,Ông
Đoàn Hồng Phong,Tổng thanh tra Chính phủ,2/1/1963,"Thị trấn Quỹ Nhất, huyện Nghĩa Hưng, tỉnh Nam Định","Ngày sinh: 2/1/1963
Quê quán: Thị trấn Quỹ Nhất, huyện Nghĩa Hưng, tỉnh Nam Định
Ủy viên Trung ương Đảng khóa XII, XIII","4/1986 - 10/1990
 Cán bộ Sở Tài chính Hà Nam Ninh
10/1990 - 10/1995
 Cán bộ Cục Thuế tỉnh Nam Hà
10/1995 - 10/1999
 Công tác tại Cục Quản lý doanh nghiệp Nam Hà
10/1999 - 3/2002
 Công tác tại Sở Tài chính Nam Định
3/2002 - 6/2003
 Phó giám đốc Sở Tài chính Nam Định
6/2003 - 7/2008
 Giám đốc Sở Tài chính Nam Định
7/2008 - 12/2009
 Bí thư Huyện ủy Ý Yên, tỉnh Nam Định
12/2009 - 7/2014
 Phó chủ tịch UBND tỉnh Nam Định
7/2014 - 9/2015
 Phó bí thư Tỉnh ủy, Chủ tịch UBND tỉnh Nam Định
10/2015 - 4/2021
 Bí thư Tỉnh ủy Nam Định
4/2021
Tổng thanh tra Chính phủ",Thạc sĩ Kinh tế,https://s1.vnecdn.net/vnexpress/j/v157/event/longform/thoisu/nhansulanhdaonhanuoc/avatar/doan-hong-phong.png,Ông
Hồ Đức Phớc,Bộ trưởng Tài chính,1/11/1963,"Xã Quỳnh Thạch, huyện Quỳnh Lưu, tỉnh Nghệ An","Ngày sinh: 1/11/1963
Quê quán: Xã Quỳnh Thạch, huyện Quỳnh Lưu, tỉnh Nghệ An
Ủy viên Trung ương Đảng khóa XII, XIII","9/2000 - 5/2004
 Phó chủ tịch UBND thị xã Cửa Lò, tỉnh Nghệ An
5/2004 - 8/2007
 Phó bí thư Thị ủy, Chủ tịch UBND thị xã Cửa Lò, tỉnh Nghệ An
8/2007 - 10/2010
 Phó chủ tịch UBND tỉnh Nghệ An
10/2010 - 12/2010
 Phó bí thư Tỉnh ủy; Phó chủ tịch UBND tỉnh Nghệ An 
12/2010 - 3/2013
 Phó bí thư Tỉnh ủy; Chủ tịch UBND tỉnh Nghệ An
3/2013 - 5/2013
 Bí thư Tỉnh ủy; Chủ tịch UBND tỉnh Nghệ An
5/2013 - 4/2016
 Bí thư Tỉnh ủy tỉnh Nghệ An
4/2016
 Tổng kiểm toán Nhà nước
4/2021
Bộ trưởng Tài chính",Tiến sĩ Kinh tế,https://s1.vnecdn.net/vnexpress/j/v157/event/longform/thoisu/nhansulanhdaonhanuoc/avatar/ho-duc-phoc.png,Ông
Bùi Thanh Sơn,Bộ trưởng Ngoại giao,16/10/1962,"Phường Tây Mỗ, quận Nam Từ Liêm, thành phố Hà Nội","Ngày sinh: 16/10/1962
Quê quán: Phường Tây Mỗ, quận Nam Từ Liêm, thành phố Hà Nội
Ủy viên Trung ương Đảng khóa XII, XIII","9/1987
Cán bộ nghiên cứu tại Học viện Quan hệ quốc tế, Bộ Ngoại giao
3/1996
Phó ban rồi Trưởng ban Âu - Mỹ, Chánh Văn phòng, Học viện Quan hệ quốc tế, Bộ Ngoại giao
3/1996 - 1/2000
Phó vụ trưởng, Phó giám đốc Học viện Quan hệ quốc tế, Bộ Ngoại giao
3/2000 - 7/2003
Tham tán Công sứ tại Đại sứ quán Việt Nam tại Singapore
7/2003 - 9/2008
Phó vụ trưởng rồi Vụ trưởng Chính sách Đối ngoại
9/2008 - 11/2009
Trợ lý Bộ trưởng Ngoại giao, Vụ trưởng Chính sách Đối ngoại, Bộ Ngoại giao
11/2009 - 4/2021
Thứ trưởng Ngoại giao
4/2021
Bộ trưởng Ngoại giao",Thạc sĩ Quan hệ quốc tế,https://s1.vnecdn.net/vnexpress/j/v157/event/longform/thoisu/nhansulanhdaonhanuoc/avatar/bui-thanh-son.png,Ông
Trần Văn Sơn,"Bộ trưởng, Chủ nhiệm Văn phòng Chính phủ",1/12/1961,"Xã Hải Anh, huyện Hải Hậu, tỉnh Nam Định","Ngày sinh: 1/12/1961
Quê quán: Xã Hải Anh, huyện Hải Hậu, tỉnh Nam Định
Ủy viên Trung ương Đảng khóa XII, XIII","Trước 2/2009
Chủ tịch HĐQT, Tổng giám đốc Tổng Công ty Xây dựng Bạch Đằng (Bộ Xây dựng)
2/2009 - 2/2014
Thứ trưởng Xây dựng
3/2014 - 9/2015
Phó bí thư Tỉnh ủy Điện Biên
10/2015 - 10/2020
Bí thư Tỉnh ủy Điện Biên
10/2020 - 4/2021
Phó chủ nhiệm Văn phòng Chính phủ
4/2021
Bộ trưởng, Chủ nhiệm Văn phòng Chính phủ","Thạc sĩ Quản trị kinh doanh, Kỹ sư Kinh tế xây dựng",https://s1.vnecdn.net/vnexpress/j/v157/event/longform/thoisu/nhansulanhdaonhanuoc/avatar/tran-van-son.png,Ông
Nguyễn Kim Sơn,Bộ trưởng Giáo dục và Đào tạo,18/11/1966,"Xã Tân Trào, huyện Kiến Thụy, TP Hải Phòng","Ngày sinh: 18/11/1966
Quê quán: Xã Tân Trào, huyện Kiến Thụy, TP Hải Phòng
Ủy viên Trung ương Đảng khóa XIII","2003 - 2006
Trưởng phòng Đào tạo kiêm Phó Giám đốc Trung tâm Nghiên cứu Trung Quốc, Trường ĐH KHXH&NV, ĐH Quốc gia Hà Nội
5/2006 - 5/2007
Trưởng phòng Đào tạo kiêm Giám đốc Trung tâm Nghiên cứu Trung Quốc, Trường ĐH KHXH&NV, ĐH Quốc gia Hà Nội
6/2007 - 5/2008
Học giả nghiên cứu Tư tưởng Nho giáo ở Việt Nam tại Học viện Harvard Yenching, Hoa Kỳ
6/2008 - 10/2009
Giám đốc Trung tâm Nghiên cứu Trung Quốc, Giảng viên Khoa Văn học, Trường ĐH KHXH&NV, ĐH Quốc gia Hà Nội
11/2009 - 12/2011
Phó hiệu trưởng, ĐH KHXH&NV kiêm Giám đốc Trung tâm Nghiên cứu Trung Quốc, ĐH Quốc gia Hà Nội
1/2012 - 2/2016
Phó giám đốc ĐH Quốc gia Hà Nội
6/2016 đến 4/2021
Giám đốc ĐH Quốc gia Hà Nội
1/2019
Giám đốc ĐH Quốc gia Hà Nội kiêm Chủ tịch Hội đồng ĐH Đại học Quốc gia Hà Nội
4/2021
Bộ trưởng Giáo dục và Đào tạo","Phó giáo sư, Tiến sĩ Ngữ văn",https://s1.vnecdn.net/vnexpress/j/v157/event/longform/thoisu/nhansulanhdaonhanuoc/avatar/nguyen-kim-son.png,Ông
Phạm Thị Thanh Trà,Bộ trưởng Nội vụ,21/1/1964,"Xã Nam Yên, huyện Nam Đàn, Nghệ An","Ngày sinh: 21/1/1964
Quê quán: Xã Nam Yên, huyện Nam Đàn, Nghệ An
Ủy viên Trung ương Đảng khóa XII, XIII","9/1985 - 9/1987
 Giáo viên Trường phổ thông cơ sở thị trấn Cổ Phúc, huyện Trấn Yên, tỉnh Yên Bái
9/1987 - 9/1997
 Cán bộ chỉ đạo chuyên môn, phòng Giáo dục và Đào tạo huyện Trấn Yên, tỉnh Yên Bái
9/1997 - 12/1999
 Phó trưởng phòng Giáo dục và Đào tạo huyện Trấn Yên, tỉnh Yên Bái
12/1999 - 11/2000
 Phó chủ tịch UBND huyện Trấn Yên, tỉnh Yên Bái
11/2000 - 2/2002
 Phó bí thư Tỉnh Đoàn Yên Bái
2/2002 - 1/2006
 Bí thư Tỉnh Đoàn Yên Bái
1/2006 - 4/2008
 Trưởng ban Tuyên giáo Tỉnh ủy Yên Bái
4/2008 - 4/2011
 Phó chủ tịch UBND tỉnh Yên Bái
4/2011 - 6/2014
 Bí thư Thành ủy Yên Bái
6/2014 - 5/2015
 Phó bí thư Tỉnh ủy Yên Bái
5/2015 - 9/2016
 Phó bí thư Tỉnh ủy; Chủ tịch UBND tỉnh Yên Bái
9/2016 - 9/2020
 Bí thư Tỉnh ủy Yên Bái
2/2017 - 9/2020
 Chủ tịch HĐND tỉnh Yên Bái
9/2020
 Thứ trưởng Nội vụ, Phó ban Tổ chức Trung ương
4/2021
Bộ trưởng Nội Vụ","Thạc sĩ Quản lý giáo dục, Cử nhân Sư phạm",https://s1.vnecdn.net/vnexpress/j/v157/event/longform/thoisu/nhansulanhdaonhanuoc/avatar/pham-thi-thanh-tra.png,Bà
Nguyễn Văn Thể,Bộ trưởng Giao thông Vận tải,27/11/1966,"Xã Trường Xuân, huyện Tháp Mười, tỉnh Đồng Tháp","Ngày sinh: 27/11/1966
Quê quán: Xã Trường Xuân, huyện Tháp Mười, tỉnh Đồng Tháp
Ủy viên Trung ương Đảng khóa XI (dự khuyết), XII, XIII","12/1989 - 10/1992
 Công tác tại Công ty Dịch vụ thiết bị vật tư giao thông - thủy lợi huyện Tháp Mười
10/1992 - 1/1995
 Công tác tại Phòng Giao thông công chánh huyện Tháp Mười.
1/1995 - 11/1996
 Trợ lý thiết kế Xí nghiệp Khảo sát thiết kế giao thông tỉnh Đồng Tháp
11/1996 - 11/1998
 Phó giám đốc Xí nghiệp Khảo sát thiết kế giao thông tỉnh Đồng Tháp
11/1998 - 8/2001
 Nghiên cứu sinh Trường Đại học Tổng hợp kỹ thuật Quốc gia đường bộ Moskva
8/2001 - 7/2004
 Phó giám đốc Công ty Tư vấn xây dựng giao thông, tỉnh Đồng Tháp
7/2004 - 11/2005
 Tổ trưởng Tổ thẩm định Sở Giao thông vận tải; học Cao cấp lý luận chính trị tại Học viện Chính trị Quốc gia Hồ Chí Minh
11/2005 - 6/2010
 Phó giám đốc, Chủ tịch Công đoàn Sở Giao thông vận tải
6/2010 - 8/2012
 Phó bí thư, Bí thư Huyện ủy Tân Hồng, tỉnh Đồng Tháp
8/2012 - 6/2013
 Phó chủ tịch UBND tỉnh Đồng Tháp
6/2013 - 10/2015
 Thứ trưởng Giao thông Vận tải
10/2015 - 10/2017
 Bí thư Tỉnh ủy Sóc Trăng
10/2017
 Bộ trưởng Giao thông Vận tải",Tiến sĩ Khoa học kỹ thuật giao thông,https://s1.vnecdn.net/vnexpress/j/v157/event/longform/thoisu/nhansulanhdaonhanuoc/avatar/nguyen-van-the.png,Ông
Vương Đình Huệ,Chủ tịch Quốc hội,15/3/1957,"Xã Nghi Xuân, huyện Nghi Lộc, tỉnh Nghệ An","Ngày sinh: 15/3/1957
Quê quán: Xã Nghi Xuân, huyện Nghi Lộc, tỉnh Nghệ An
Ủy viên Bộ Chính trị khóa XII, XIII; Ủy viên Trung ương Đảng khóa X, XI, XII, XIII","Trước 2001
Giảng viên, Trưởng khoa, Phó Hiệu trưởng phụ trách đào tạo Đại học Tài chính - Kế toán Hà Nội
7/2001 - 6/2006
Phó Tổng Kiểm toán Nhà nước
7/2006 - 7/2011
Tổng Kiểm toán Nhà nước
8/2011 - 12/2012
Bộ Trưởng Tài chính
1/2013 - 4/2016
Trưởng Ban Kinh tế Trung ương
4/2016 - 2/2020
Phó Thủ tướng Chính phủ
2/2020
Bí thư Thành ủy Hà Nội
6/2020
Được Quốc hội miễn nhiệm chức vụ Phó Thủ tướng
10/2020
Tái đắc cử Bí thư thành ủy Hà Nội
3/2021 - nay
Chủ tịch Quốc hội","Giáo sư, Tiến sĩ Kinh tế",https://s1.vnecdn.net/vnexpress/j/v157/event/longform/thoisu/nhansulanhdaonhanuoc/avatar/vuong-dinh-hue.png,Ông
Trần Thanh Mẫn,Phó chủ tịch Quốc hội,12/8/1962,"Xã Thạnh Xuân, huyện Châu Thành A, tỉnh Hậu Giang","Ngày sinh: 12/8/1962
Quê quán: Xã Thạnh Xuân, huyện Châu Thành A, tỉnh Hậu Giang
Ủy viên Bộ Chính trị khóa XIII; Bí thư Trung ương Đảng khóa XII; Ủy viên Trung ương Đảng khóa X (dự khuyết), XI, XII, XIII","1/1988 - 7/1992
Phó Bí thư Tỉnh đoàn Hậu Giang
8/1992 - 6/1994
Bí thư Tỉnh đoàn Cần Thơ
7/1994 - 11/1999
Chánh Văn phòng UBND tỉnh Cần Thơ
12/1999 - 12/2003
Phó Chủ tịch UBND tỉnh Cần Thơ
1/2004 - 3/2008
Bí thư Quận ủy Bình Thủy, TP Cần Thơ 3/2008 - 2/2011 : Phó Bí thư Thành ủy, Chủ tịch UBND TP Cần Thơ
2/2011 - 4/2011
Bí thư Thành ủy, Chủ tịch UBND TP Cần Thơ
4/2011 - 9/2015
Bí thư Thành ủy TP Cần Thơ
10/2015 - 6/2017
Phó Chủ tịch Ủy ban Trung ương Mặt trận Tổ quốc Việt Nam
6/2017 - 4/2021
Chủ tịch Ủy ban Trung ương Mặt trận Tổ quốc Việt Nam
4/2021 - nay
Phó Chủ tịch Quốc hội",Tiến sĩ Kinh tế,https://s1.vnecdn.net/vnexpress/j/v157/event/longform/thoisu/nhansulanhdaonhanuoc/avatar/tran-thanh-man.png,Ông
Nguyễn Đức Hải,Phó chủ tịch Quốc hội,29/7/1961,"Xã Tam Xuân, huyện Núi Thành, tỉnh Quảng Nam","Ngày sinh: 29/7/1961
Quê quán: Xã Tam Xuân, huyện Núi Thành, tỉnh Quảng Nam
Ủy viên Trung ương Đảng khóa XI, XII, XIII","12/2005 - 2/2008
Phó Bí thư Tỉnh ủy, Chủ tịch UBND tỉnh Quảng Nam
2/2008 - 2/2015
Bí thư Tỉnh ủy Quảng Nam
2/2015 - 2016
Phó Chủ nhiệm Ủy ban Kiểm tra Trung ương
4/2016 - 4/2021
Chủ nhiệm Ủy ban Tài chính, Ngân sách của Quốc hội
4/2021 - 7/2021
Phó chủ tịch Quốc hội, Chủ nhiệm Ủy ban Tài chính Ngân sách
7/2021
Phó chủ tịch Quốc hội",Thạc sĩ Kinh tế chuyên ngành Tài chính - Tín dụng,https://s1.vnecdn.net/vnexpress/j/v157/event/longform/thoisu/nhansulanhdaonhanuoc/avatar/nguyen-duc-hai.png,Ông
Nguyễn Khắc Định,Phó chủ tịch Quốc hội,3/1/1964,"Xã Hòa Bình, huyện Vũ Thư, tỉnh Thái Bình","Ngày sinh: 3/1/1964
Quê quán: Xã Hòa Bình, huyện Vũ Thư, tỉnh Thái Bình
Ủy viên Trung ương Đảng khóa XII, XIII","Trước 11/2008
Cán bộ tại Văn phòng Chính phủ
11/2008 - 9/2011
Trợ lý của Thủ tướng
9/2011 - 2/2016
Phó Chủ nhiệm Văn phòng Chính phủ
2/2016 - 7/2016
Điều hành Văn phòng Chính phủ
7/2016 - 10/2019
Chủ nhiệm Ủy ban Pháp luật của Quốc hội
10/2019 - 4/2021
Bí thư Tỉnh ủy Khánh Hòa
4/2021 - nay
Phó Chủ tịch Quốc hội",Tiến sĩ Luật học,https://s1.vnecdn.net/vnexpress/j/v157/event/longform/thoisu/nhansulanhdaonhanuoc/avatar/nguyen-khac-dinh.png,Ông
Trần Quang Phương,Phó chủ tịch Quốc hội,6/5/1961,"Phường Phổ Vinh, thị xã Đức Phổ, tỉnh Quảng Ngãi","Ngày sinh: 6/5/1961
Quê quán: Phường Phổ Vinh, thị xã Đức Phổ, tỉnh Quảng Ngãi
Ủy viên Trung ương Đảng khóa XII, XIII","1/2003 - 10/2003
Chủ nhiệm Chính trị, Sư đoàn 2, Quân khu 5
11/2003 - 6/2005
Phó Sư đoàn trưởng về Chính trị, Sư đoàn 2, Quân khu 5
7/2005 - 4/2006
Phó Chỉ huy trưởng về Chính trị, Bộ Chỉ huy Quân sự tỉnh Quảng Ngãi, Quân khu 5
5/2006 - 4/2008
Chính ủy, Bộ Chỉ huy Quân sự tỉnh Quảng Ngãi, Quân khu 5
5/2008 - 6/2010
Phó Chủ nhiệm Chính trị, Quân khu 5
7/2010 - 5/2011
Chủ nhiệm Chính trị, Quân khu 5
6/2011 - 4/2019
Chính ủy Quân khu 5
5/2019 - 7/2021
Phó Chủ nhiệm Tổng cục Chính trị Quân đội Nhân dân Việt Nam
7/2021
Phó chủ tịch Quốc hội",Cử nhân Xây dựng Đảng và chính quyền nhà nước,https://s1.vnecdn.net/vnexpress/j/v157/event/longform/thoisu/nhansulanhdaonhanuoc/avatar/tran-quang-phuong.png,Ông
Nguyễn Thúy Anh,Chủ nhiệm Ủy ban Xã hội,7/12/1963,"Phường Tiên Cát, thành phố Việt Trì, tỉnh Phú Thọ","Ngày sinh: 7/12/1963
Quê quán: Phường Tiên Cát, thành phố Việt Trì, tỉnh Phú Thọ
Ủy viên Trung ương Đảng khóa XII, XIII","3/1987 - 9/1989
Chuyên viên Vụ Hành chính-Tổng hợp, Văn phòng Quốc hội và Hội đồng Nhà nước
10/1989 - 8/1990
Thực tập sinh tại Đại học Quốc gia Ki-ep, Cộng hòa Ucraina (Liên Xô cũ)
9/1990 - 10/1995
Chuyên viên Vụ Tổng hợp, Văn phòng Quốc hội và Hội đồng Nhà nước (từ tháng 7/1992 là Văn phòng Quốc hội)
11/1995 - 9/1997
Thực tập sinh tại Học viện Quốc tế Hành chính công (IIAP), Paris và học Cao học tại Học viện Châu Âu (IEHEI, IE), Ni-xơ, Cộng hòa Pháp
10/1997 - 7/2011
Chuyên viên, Phó Vụ trưởng, Vụ trưởng Vụ Các vấn đề xã hội, Văn phòng Quốc hội
7/2011 - 4/2016
Phó Chủ nhiệm Ủy ban Về các vấn đề xã hội của Quốc hội
4/2016 - nay
Chủ nhiệm Ủy ban Xã hội của Quốc hội",Thạc sĩ Luật công và hành chính công,https://s1.vnecdn.net/vnexpress/j/v157/event/longform/thoisu/nhansulanhdaonhanuoc/avatar/nguyen-thuy-anh.png,Bà
Dương Thanh Bình,Trưởng Ban Dân nguyện,8/8/1961,"Xã Hồ Thị Kỷ, huyện Thới Bình, tỉnh Cà Mau","Ngày sinh: 8/8/1961
Quê quán: Xã Hồ Thị Kỷ, huyện Thới Bình, tỉnh Cà Mau
Ủy viên Trung ương Đảng khóa XI, XII, XIII","4/1993 - 4/1996
Chánh Văn phòng Ban Tổ chức Tỉnh ủy Minh Hải
5/1996 - 12/1996
Phó Trưởng Ban Tổ chức Tỉnh ủy Minh Hải
1/1997 - 4/2001
Phó Trưởng Ban Tổ chức Tỉnh ủy Cà Mau
5/2001 - 7/2002
Trưởng ban Tổ chức Tỉnh ủy Cà Mau
8/2002 - 10/2003
Bí thư Huyện ủy Trần Văn Thời, tỉnh Cà Mau
11/2003 - 2/2005
Thường trực Tỉnh ủy, kiêm Thường vụ Đảng ủy Công an tỉnh Cà Mau
3/2005 - 9/2010
Phó Bí thư Thường trực Tỉnh ủy Cà Mau
9/2010 - 6/2020
Bí thư Tỉnh ủy Cà Mau
6/2020 - nay
Trưởng Ban Dân Nguyện (thuộc Ủy ban Thường vụ Quốc hội)",Cử nhân Kinh tế,https://s1.vnecdn.net/vnexpress/j/v157/event/longform/thoisu/nhansulanhdaonhanuoc/avatar/duong-thanh-binh.png,Ông
Nguyễn Phú Cường,Chủ nhiệm Ủy ban Tài chính Ngân sách,19/6/1967,"Phường Tân Phước Khánh, thị xã Tân Uyên, tỉnh Bình Dương","Ngày sinh: 19/6/1967
Quê quán: Phường Tân Phước Khánh, thị xã Tân Uyên, tỉnh Bình Dương
Ủy viên Trung ương Đảng khóa XI (dự khuyết), XII, XIII","1989-1995
Nhân viên Phòng Ngân sách, Sở Tài chính tỉnh Đồng Nai
1995- 1996
Phó Trưởng phòng Phòng Ngân sách, Sở Tài chính tỉnh Đồng Nai
1996- 2002
Phó Giám đốc Sở Tài chính tỉnh Đồng Nai
2003-2005
Giám đốc Sở Tài chính tỉnh Đồng Nai
2005-2011
Phó Bí thư Thành ủy Biên Hòa, Chủ tịch UBND thành phố Biên Hòa, tỉnh Đồng Nai;
2011-2014
Bí thư Thành ủy Biên Hòa
11/2014 - 10/2015
Phó Chủ tịch UBND tỉnh Đồng Nai
10/2015 - 6/2016
Bí thư Tỉnh ủy Đồng Nai
6/2016 - 7/2021
Bí thư Tỉnh ủy, Chủ tịch HĐND tỉnh Đồng Nai
7/2021
Chủ nhiệm Ủy ban Tài chính, Ngân sách của Quốc hội","Thạc sĩ Quản lý kinh tế, Cử nhân Tài chính Công nghiệp",https://s1.vnecdn.net/vnexpress/j/v157/event/longform/thoisu/nhansulanhdaonhanuoc/avatar/nguyen-phu-cuong.png,Ông
Bùi Văn Cường,Tổng thư ký Quốc hội,18/6/1965,"Xã Thăng Long, thị xã Kinh Môn, tỉnh Hải Dương","Ngày sinh: 18/6/1965
Quê quán: Xã Thăng Long, thị xã Kinh Môn, tỉnh Hải Dương
Ủy viên Trung ương Đảng khóa XI (dự khuyết), XII, XIII","1/1990 - 10/1997
Công tác tại Đại học Hàng Hải
10/1997 - 2/1999
Phó bí thư Thành đoàn TP Hải Phòng
2/1999 - 10/2016
Công tác tại Đoàn TNCS Hồ Chí Minh
10/2006 - 4/2008
Bí thư Ban Chấp hành Trung ương Đoàn TNCS Hồ Chí Minh
4/2008 - 9/2011
Phó Bí thư Tỉnh ủy Gia Lai
9/2011 - 6/2012
Phó trưởng Ban Dân vận Trung ương
6/2012 - 2016
Bí thư Đảng ủy Khối Doanh nghiệp Trung ương
2016 - 7/2019
Chủ tịch Tổng Liên đoàn Lao động Việt Nam
7/2019 - 4/2021
Bí thư Tỉnh ủy Đắk Lắk
4/2021 - nay
Tổng thư ký, Chủ nhiệm Văn phòng Quốc hội","Tiến sĩ Kỹ thuật Hàng hải, Thạc sĩ An toàn hàng hải, Kỹ sư điều hành tàu biển, Cử nhân Tiếng Anh",https://s1.vnecdn.net/vnexpress/j/v157/event/longform/thoisu/nhansulanhdaonhanuoc/avatar/bui-van-cuong.png,Ông
Vũ Hải Hà,Chủ nhiệm Ủy ban Đối ngoại,1/3/1969,"Xã Hải Anh, huyện Hải Hậu, Nam Định","Ngày sinh: 1/3/1969
Quê quán: Xã Hải Anh, huyện Hải Hậu, Nam Định
Ủy viên Trung ương Đảng khóa XIII","8/1995 - 5/2002
Chuyên viên Vụ Đối ngoại, Văn phòng Quốc hội
5/2002 - 10/2005
Phó Vụ trưởng Đối ngoại, Văn phòng Quốc hội
10/2005 - 11/2007
Quyền Vụ trưởng Đối ngoại, Văn phòng Quốc hội
11/2007 - 7/2011
Vụ trưởng Đối ngoại, Văn phòng Quốc hội
7/2011 - 11/2013
Ủy viên Thường trực Ủy ban Đối ngoại của Quốc hội
11/2013 - 4/2021
Phó Chủ nhiệm Ủy ban Đối ngoại của Quốc hội
4/2021 - nay
Chủ nhiệm Ủy ban Đối ngoại của Quốc hội","Thạc sĩ Quản lý chính sách công, Cử nhân Luật, Cử nhân Ngôn ngữ",https://s1.vnecdn.net/vnexpress/j/v157/event/longform/thoisu/nhansulanhdaonhanuoc/avatar/vu-hai-ha.png,Ông
Lê Quang Huy,Chủ nhiệm Ủy ban KHCN&MT,19/9/1966,"Xã Vân Canh, huyện Hoài Đức, TP Hà Nội","Ngày sinh: 19/9/1966
Quê quán: Xã Vân Canh, huyện Hoài Đức, TP Hà Nội
Ủy viên Trung ương Đảng khóa XIII","5/1989 - 12/1990
Cán bộ kỹ thuật Công ty xây dựng số 3, Thành phố Hồ Chí Minh
1/1991 - 12/1992
Chuyên viên kỹ thuật phần mềm, Công ty Ứng dụng Toán Tin học và Xây dựng, Hội Xây dựng Việt Nam
1/1993 - 5/1995
Chuyên viên kỹ thuật máy tính, Văn phòng Quy hoạch tổng thể Đồng bằng sông Hồng, Bộ Khoa học, Công nghệ và Môi trường
6/1995 - 5/1996
Chuyên viên kỹ thuật máy tính, Văn phòng Ban Chỉ đạo Chương trình Quốc gia về Công nghệ thông tin, Văn phòng Chính phủ
6/1996 - 7/2007
Chuyên viên, Trưởng phòng, Phó Giám đốc rồi Giám đốc Trung tâm Thông tin Tư liệu, Ban Khoa giáo Trung ương Đảng
8/2007 - 6/2011
Ủy viên Thường trực Ủy ban Khoa học, Công nghệ và Môi trường của Quốc hội
7/2011 - 3/2014
Phó Chủ nhiệm Ủy ban Khoa học, Công nghệ và Môi trường của Quốc hội
4/2014 - 10/2017
Phó Bí thư Tỉnh ủy Nghệ An
11/2017 - 4/2021
Phó Chủ nhiệm Ủy ban Khoa học, Công nghệ và Môi trường của Quốc hội
4/2021 - nay
Chủ nhiệm Ủy ban Khoa học, Công nghệ và Môi trường của Quốc hội","Tiến sĩ Công nghệ thông tin, Kỹ sư xây dựng dân dụng",https://s1.vnecdn.net/vnexpress/j/v157/event/longform/thoisu/nhansulanhdaonhanuoc/avatar/le-quang-huy.png,Ông
